,game,model,experiment,episode,metric,value
0,de_mm_Physics-Puzzle,gemini-1.5-flash-t0.0--gemini-1.5-flash-t0.0,0_level_1,episode_0,Success,1.0
1,de_mm_Physics-Puzzle,gemini-1.5-flash-t0.0--gemini-1.5-flash-t0.0,0_level_1,episode_0,Lose,0.0
2,de_mm_Physics-Puzzle,gemini-1.5-flash-t0.0--gemini-1.5-flash-t0.0,0_level_1,episode_0,Aborted,0.0
3,de_mm_Physics-Puzzle,gemini-1.5-flash-t0.0--gemini-1.5-flash-t0.0,0_level_1,episode_0,Main Score,99.23
4,de_mm_Physics-Puzzle,gemini-1.5-flash-t0.0--gemini-1.5-flash-t0.0,0_level_1,episode_0,Final Score (%),99.23
5,de_mm_Physics-Puzzle,gemini-1.5-flash-t0.0--gemini-1.5-flash-t0.0,0_level_1,episode_0,Turns Used,1.0
6,de_mm_Physics-Puzzle,gemini-1.5-flash-t0.0--gemini-1.5-flash-t0.0,0_level_1,episode_1,Success,1.0
7,de_mm_Physics-Puzzle,gemini-1.5-flash-t0.0--gemini-1.5-flash-t0.0,0_level_1,episode_1,Lose,0.0
8,de_mm_Physics-Puzzle,gemini-1.5-flash-t0.0--gemini-1.5-flash-t0.0,0_level_1,episode_1,Aborted,0.0
9,de_mm_Physics-Puzzle,gemini-1.5-flash-t0.0--gemini-1.5-flash-t0.0,0_level_1,episode_1,Main Score,99.23
10,de_mm_Physics-Puzzle,gemini-1.5-flash-t0.0--gemini-1.5-flash-t0.0,0_level_1,episode_1,Final Score (%),99.23
11,de_mm_Physics-Puzzle,gemini-1.5-flash-t0.0--gemini-1.5-flash-t0.0,0_level_1,episode_1,Turns Used,1.0
12,de_mm_Physics-Puzzle,gemini-1.5-flash-t0.0--gemini-1.5-flash-t0.0,1_level_2,episode_0,Success,0.0
13,de_mm_Physics-Puzzle,gemini-1.5-flash-t0.0--gemini-1.5-flash-t0.0,1_level_2,episode_0,Lose,1.0
14,de_mm_Physics-Puzzle,gemini-1.5-flash-t0.0--gemini-1.5-flash-t0.0,1_level_2,episode_0,Aborted,0.0
15,de_mm_Physics-Puzzle,gemini-1.5-flash-t0.0--gemini-1.5-flash-t0.0,1_level_2,episode_0,Main Score,0.0
16,de_mm_Physics-Puzzle,gemini-1.5-flash-t0.0--gemini-1.5-flash-t0.0,1_level_2,episode_0,Final Score (%),0.0
17,de_mm_Physics-Puzzle,gemini-1.5-flash-t0.0--gemini-1.5-flash-t0.0,1_level_2,episode_0,Turns Used,2.0
18,de_mm_Physics-Puzzle,gemini-1.5-flash-t0.0--gemini-1.5-flash-t0.0,1_level_2,episode_1,Success,1.0
19,de_mm_Physics-Puzzle,gemini-1.5-flash-t0.0--gemini-1.5-flash-t0.0,1_level_2,episode_1,Lose,0.0
20,de_mm_Physics-Puzzle,gemini-1.5-flash-t0.0--gemini-1.5-flash-t0.0,1_level_2,episode_1,Aborted,0.0
21,de_mm_Physics-Puzzle,gemini-1.5-flash-t0.0--gemini-1.5-flash-t0.0,1_level_2,episode_1,Main Score,99.23
22,de_mm_Physics-Puzzle,gemini-1.5-flash-t0.0--gemini-1.5-flash-t0.0,1_level_2,episode_1,Final Score (%),99.23
